Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
22651,889,2,1108.11
22652,890,1,532.15
22653,890,3,2660.76
22654,891,1,412.32
22655,891,3,2061.59
22660,893,1,367.76
22661,893,3,1838.79
22664,894,4,123.06
22665,895,1,361.35
22666,895,3,1806.77
22669,897,4,244.25
22670,898,4,90.57
22671,899,4,327.65
22674,900,1,320.76
22675,900,3,1603.81
22676,901,4,79.76
22678,902,4,91.69
22681,904,4,16.23
22684,906,1,889.36
22685,906,3,4446.79
22690,908,1,1.46
22691,908,3,7.29
22692,909,1,0.75
22693,909,3,3.77
22696,911,1,0.18
22697,911,3,0.91
22700,913,1,66.02
22701,913,3,330.1
22702,914,1,424.75
22703,914,3,2123.75
22704,915,1,191.79
22705,915,3,958.96
22706,916,1,107.81
22707,916,3,539.03
22709,918,2,203.05
22710,919,2,1500.63
22711,920,1,78.13
22712,920,3,390.64
22713,921,1,152.98
22714,921,3,764.89
22715,922,4,300
22716,923,4,1064.15
22719,925,1,127.17
22720,925,3,635.87
22721,926,2,1045.49
22722,927,1,706.26
22723,927,3,3531.32
22725,929,1,353.61
22726,929,3,1768.07
22727,930,1,351.28
22728,930,3,1756.42
22729,931,1,701.77
22730,931,3,3508.86
22731,932,1,457.42
22732,932,3,2287.11
22733,933,1,468.84
22734,933,3,2344.22
22737,936,2,686.1
22738,937,2,1511.59
22739,938,1,691.65
22740,938,3,3458.24
22743,940,1,119.22
22744,940,3,596.1
22749,942,4,756.7
22750,943,1,182.4
22751,943,3,912.01
22760,950,1,533.16
22761,950,3,2665.78
22762,951,1,621.23
22763,951,3,3106.16
22767,953,2,630.11
22768,954,2,6119.58
22770,956,1,21.35
22771,956,3,106.75
22774,958,2,570.86
22775,959,3,5279.76
22776,959,1,1055.95
22777,960,4,117.11
22779,962,1,16.47
22780,962,3,82.37
22781,963,1,388.73
22782,963,3,1943.65
